num_date_time,answer
1_20220825 00,2109.025129783765
1_20220825 01,2068.5143741018737
1_20220825 02,1875.9913250767368
1_20220825 03,1808.7606934256617
1_20220825 04,1818.7119156660815
1_20220825 05,2021.281187684075
1_20220825 06,2300.293115147136
1_20220825 07,2612.744417308892
1_20220825 08,2998.726966751641
1_20220825 09,3395.492319722568
1_20220825 10,3940.426816484419
1_20220825 11,4221.845163827098
1_20220825 12,4301.581721805934
1_20220825 13,4263.1209322222285
1_20220825 14,4225.534964612551
1_20220825 15,3888.710970998253
1_20220825 16,3870.528273552813
1_20220825 17,3575.856514148942
1_20220825 18,2833.9799720611254
1_20220825 19,2611.790323148261
1_20220825 20,2494.686185900511
1_20220825 21,2132.45132162963
1_20220825 22,1747.9662090181955
1_20220825 23,2252.7258817901547
1_20220826 00,2293.7621364470624
1_20220826 01,2212.630885633851
1_20220826 02,2069.3557475540288
1_20220826 03,1949.807066700472
1_20220826 04,1943.8164481305432
1_20220826 05,2134.5392053802034
1_20220826 06,2298.6416694317377
1_20220826 07,2585.6286760664
1_20220826 08,3012.351493807214
1_20220826 09,3380.112995289226
1_20220826 10,4017.283407408884
1_20220826 11,4329.240750212159
1_20220826 12,4307.467829978349
1_20220826 13,4290.049104202237
1_20220826 14,4253.156476183384
1_20220826 15,4216.550514902251
1_20220826 16,4107.400376053471
1_20220826 17,3605.842857375786
1_20220826 18,2821.245464653391
1_20220826 19,2613.9671223504038
1_20220826 20,2388.9059731733787
1_20220826 21,2069.7499302086994
1_20220826 22,1617.815085808407
1_20220826 23,2139.901153831576
1_20220827 00,2021.2801295648865
1_20220827 01,1937.883068026536
1_20220827 02,1854.08573302771
1_20220827 03,1742.831194576165
1_20220827 04,1785.3259367694002
1_20220827 05,1926.5234648808664
1_20220827 06,2130.127272827641
1_20220827 07,2347.923796739105
1_20220827 08,2571.99223258563
1_20220827 09,2896.820890424174
1_20220827 10,3388.431483233549
1_20220827 11,3469.614219361385
1_20220827 12,3507.221814274305
1_20220827 13,3511.8577949559467
1_20220827 14,3532.862394251405
1_20220827 15,3507.816629382362
1_20220827 16,3420.022197143176
1_20220827 17,3231.558132908234
1_20220827 18,2706.162643078324
1_20220827 19,2518.6447784913034
1_20220827 20,2358.3762968294363
1_20220827 21,2026.9782685445705
1_20220827 22,1560.4066423580289
1_20220827 23,2004.0263942365805
1_20220828 00,1858.621595953836
1_20220828 01,1770.3876108935372
1_20220828 02,1669.585070442074
1_20220828 03,1614.671125840935
1_20220828 04,1620.2559488259574
1_20220828 05,1702.2165037232055
1_20220828 06,1856.7070881966224
1_20220828 07,1910.188434813978
1_20220828 08,2102.147899944227
1_20220828 09,2436.063642687703
1_20220828 10,2856.681230664863
1_20220828 11,3048.160298492782
1_20220828 12,3060.95147707681
1_20220828 13,3088.8617802551853
1_20220828 14,3063.463230547554
1_20220828 15,3045.8175380268517
1_20220828 16,3021.2085598226304
1_20220828 17,2960.697374327789
1_20220828 18,2629.6819567499865
1_20220828 19,2392.5347233904827
1_20220828 20,2279.9877659193976
1_20220828 21,1945.373624770828
1_20220828 22,1563.426542217524
1_20220828 23,2067.543047270288
1_20220829 00,2189.854103984316
1_20220829 01,2126.532255660741
1_20220829 02,2032.9968859812168
1_20220829 03,1925.2331470478528
1_20220829 04,1994.383740856868
1_20220829 05,2132.057000977522
1_20220829 06,2300.973600855274
1_20220829 07,2525.372303605329
1_20220829 08,2831.890138527375
1_20220829 09,3177.923820533386
1_20220829 10,3657.0369635575066
1_20220829 11,3913.760965395194
1_20220829 12,3910.279393300681
1_20220829 13,3989.6797801658095
1_20220829 14,3931.919313131864
1_20220829 15,3800.38974057258
1_20220829 16,3694.465103376578
1_20220829 17,3305.422386167587
1_20220829 18,2738.7763865724355
1_20220829 19,2532.158716762286
1_20220829 20,2409.8009048586723
1_20220829 21,2060.400722337992
1_20220829 22,1691.594518552237
1_20220829 23,2142.399516165798
1_20220830 00,2184.7323324378594
1_20220830 01,2110.783075015427
1_20220830 02,1972.865007300754
1_20220830 03,1727.7537589462606
1_20220830 04,1804.5416468988644
1_20220830 05,1956.636189761163
1_20220830 06,2123.4088448053003
1_20220830 07,2494.295502726033
1_20220830 08,2920.5996623117044
1_20220830 09,3204.7690271055462
1_20220830 10,3768.916443284772
1_20220830 11,4032.732267294795
1_20220830 12,4036.767959080577
1_20220830 13,4041.440772101851
1_20220830 14,4012.0372685778143
1_20220830 15,3943.993845426153
1_20220830 16,3798.88114384706
1_20220830 17,3421.128120430373
1_20220830 18,2720.945646727122
1_20220830 19,2637.642240235052
1_20220830 20,2495.575517879788
1_20220830 21,2044.6865333076137
1_20220830 22,1724.1310019109808
1_20220830 23,2154.841391376712
1_20220831 00,2179.502254417144
1_20220831 01,2158.100564262189
1_20220831 02,2029.0801917370115
1_20220831 03,1938.234912984844
1_20220831 04,1937.6815381875008
1_20220831 05,2045.6063141886927
1_20220831 06,2167.5538652409964
1_20220831 07,2446.1602826150083
1_20220831 08,2895.780710821038
1_20220831 09,3240.4923506434307
1_20220831 10,3810.576018878344
1_20220831 11,4070.371609080849
1_20220831 12,4148.428204704175
1_20220831 13,4169.88286153464
1_20220831 14,4136.762693878954
1_20220831 15,4000.89281779462
1_20220831 16,3896.398671586168
1_20220831 17,3519.8803987594943
1_20220831 18,2716.5091115905398
1_20220831 19,2602.7430512570863
1_20220831 20,2459.730246761228
1_20220831 21,2055.706688357697
1_20220831 22,1659.4665547420805
1_20220831 23,2073.6736553329115
2_20220825 00,1341.9773886918972
2_20220825 01,1340.17630046518
2_20220825 02,1321.1187905509714
2_20220825 03,1326.5044149501384
2_20220825 04,1322.3388759980114
2_20220825 05,1304.3517361228146
2_20220825 06,1310.4897794308763
2_20220825 07,1281.3903694732708
2_20220825 08,1910.1611719698608
2_20220825 09,2148.560183735824
2_20220825 10,2351.066878661103
2_20220825 11,2273.5781868116555
2_20220825 12,2424.4153096336017
2_20220825 13,2383.9320519248063
2_20220825 14,2360.826138780241
2_20220825 15,2102.5876755137424
2_20220825 16,2198.507794441544
2_20220825 17,2214.3776066645155
2_20220825 18,2283.6004699915875
2_20220825 19,2206.0221468196555
2_20220825 20,2042.4324006863008
2_20220825 21,1804.067521401767
2_20220825 22,1115.037698081701
2_20220825 23,1461.2161406534906
2_20220826 00,1423.260444589983
2_20220826 01,1403.8614560180856
2_20220826 02,1407.609900291806
