num_date_time,answer
1_20220825 00,2120.285014103839
1_20220825 01,2076.292430066191
1_20220825 02,1892.6563824709042
1_20220825 03,1830.9941090639834
1_20220825 04,1829.9954540077167
1_20220825 05,2014.1142125674055
1_20220825 06,2291.9648670094593
1_20220825 07,2605.0453076355075
1_20220825 08,3012.362772411918
1_20220825 09,3379.8264140411334
1_20220825 10,3939.8576519076905
1_20220825 11,4207.850603479348
1_20220825 12,4279.764241532587
1_20220825 13,4245.6526583722525
1_20220825 14,4215.499106250085
1_20220825 15,3884.054923523721
1_20220825 16,3850.167242405933
1_20220825 17,3542.167126626919
1_20220825 18,2819.3836907626915
1_20220825 19,2613.009986766029
1_20220825 20,2511.043637700533
1_20220825 21,2167.861551972965
1_20220825 22,1759.1715767573603
1_20220825 23,2253.3170873522945
1_20220826 00,2277.732782036898
1_20220826 01,2203.57144761371
1_20220826 02,2054.673032565968
1_20220826 03,1955.8565453304504
1_20220826 04,1936.5818922312267
1_20220826 05,2135.596522212982
1_20220826 06,2301.350021179299
1_20220826 07,2596.9778141122297
1_20220826 08,3003.5357960545603
1_20220826 09,3356.042384218753
1_20220826 10,3991.5365874596387
1_20220826 11,4290.81672199621
1_20220826 12,4264.226934376782
1_20220826 13,4272.219989363831
1_20220826 14,4219.817314677991
1_20220826 15,4201.337840841436
1_20220826 16,4087.215882764547
1_20220826 17,3593.8178347177395
1_20220826 18,2830.560890896545
1_20220826 19,2619.782428967745
1_20220826 20,2398.048426729772
1_20220826 21,2070.566732612815
1_20220826 22,1622.3428769431832
1_20220826 23,2143.657723547512
1_20220827 00,1984.6454268095688
1_20220827 01,1917.4599823901115
1_20220827 02,1846.9121313708395
1_20220827 03,1730.6518189523727
1_20220827 04,1789.733600685236
1_20220827 05,1920.0646169587633
1_20220827 06,2138.703459097114
1_20220827 07,2358.6205245444853
1_20220827 08,2579.294572797088
1_20220827 09,2911.636073284184
1_20220827 10,3389.323176849069
1_20220827 11,3497.4122100888776
1_20220827 12,3523.0428850054595
1_20220827 13,3521.6680589054536
1_20220827 14,3512.0526204397447
1_20220827 15,3473.347627622319
1_20220827 16,3365.3704523666283
1_20220827 17,3194.3395502770936
1_20220827 18,2696.358831431946
1_20220827 19,2522.5192426682956
1_20220827 20,2378.3601189616584
1_20220827 21,2054.140149550385
1_20220827 22,1581.05396007336
1_20220827 23,2016.4889265012168
1_20220828 00,1869.7537457914545
1_20220828 01,1817.3861653583176
1_20220828 02,1715.4307981652144
1_20220828 03,1670.9140661136055
1_20220828 04,1667.8441472356337
1_20220828 05,1710.883823369591
1_20220828 06,1850.6591799179707
1_20220828 07,1912.848354229938
1_20220828 08,2143.7504849901084
1_20220828 09,2463.217696668514
1_20220828 10,2878.5891017548824
1_20220828 11,3011.109799684967
1_20220828 12,3022.3531719641596
1_20220828 13,3052.570291676628
1_20220828 14,3024.7803909239556
1_20220828 15,2994.210430293271
1_20220828 16,2985.5047174929377
1_20220828 17,2905.939379432782
1_20220828 18,2610.6668462483285
1_20220828 19,2394.297235068651
1_20220828 20,2288.217484620605
1_20220828 21,1952.6907796690894
1_20220828 22,1586.266911294219
1_20220828 23,2046.3461399794571
1_20220829 00,2172.908266841756
1_20220829 01,2104.8147894820477
1_20220829 02,1994.84430697452
1_20220829 03,1928.5848828484995
1_20220829 04,1987.7651234728705
1_20220829 05,2131.922704641297
1_20220829 06,2290.5936994085446
1_20220829 07,2535.211913284868
1_20220829 08,2830.683194608493
1_20220829 09,3165.7543584993077
1_20220829 10,3685.764834101429
1_20220829 11,3903.8468681468553
1_20220829 12,3906.5503173450024
1_20220829 13,3939.761679410115
1_20220829 14,3877.0679664239537
1_20220829 15,3779.368324230748
1_20220829 16,3686.491597368445
1_20220829 17,3254.7921754814734
1_20220829 18,2750.887399448768
1_20220829 19,2528.6224713147817
1_20220829 20,2404.9628813037434
1_20220829 21,2091.232912074428
1_20220829 22,1713.0772394701862
1_20220829 23,2156.290915904893
1_20220830 00,2209.755211827333
1_20220830 01,2119.4347164098235
1_20220830 02,1968.4566218109778
1_20220830 03,1743.8464687089665
1_20220830 04,1809.261941201214
1_20220830 05,1948.788212588644
